"nude, naked, bare",nud/,
nape (of neck),nuk/,
nut,nuks/,
"zero, nought",nul/,
"number (among things numbered consecutively, as of a",numer/,
numismatic (relating to coin collecting),numismatik/,
now,nun,
nuncio (papal ambassador),nunci/,
only (adverb),nur,
"nourish, feed, sustain with food",nutr/,
ending of nouns (substantive),-o,finaĵo
"name of the letter \""o\""",o,liternomo
oasis,oaz/,
obey,obe/,
obelisk,obelisk/,
object,objekt/,
objective (not subjective),objektiv/,
...fold,obl/,sufikso
"wafer, seal",oblat/,
"bond, debanature (as in commerce)",obligaci/,
oblique,oblikv/,
obol (type of ancient Greek coin),obol/,
observe,observ/,
observatory,observatori/,
obstacle,obstakl/,
obstinate,obstin/,
obstruction,obstrukc/,
obtuse,obtuz/,
ocean,ocean/,
ode (type of lyrical poem),od/,
"odor, scent, smell",odor/,
offend,ofend/,
"offer up, sacrifice",ofer/,
to offer for sale,ofert/,
"office, duty, function",ofic/,
"official, authorized",oficial/,
officer (military),oficir/,
often,oft/,
"ogive, Gothic arch (in architecture)",ogiv/,
eight,ok,
"occur, happen",okaz/,
west,okcident/,
oxide,oksid/,
oxygen (chemical element),oksigen/,
cranberry (type of plant),oksikok/,
octave,oktav/,
October,Oktobr/,
eye,okul/,
"occult, secret; magic, mystical",okult/,
"occupy, employ",okup/,
sorrel (type of plant),okzal/,
than,ol,
oil,ole/,
oleander (type of plant),oleandr/,
oligarch,oligarĥ/,
"oligarchy (government by a small, corrupt group)",oligarĥi/,
oligarch,oligark/,
"oligarchy (government by a small, corrupt group)",oligarki/,
olive (fruit of olive tree),oliv/,
homage,omaĝ/,
lobster (type of sea creature),omar/,
shadow,ombr/,
umbrella,ombrel/,
bus (omnibus),omnibus/,
marks fractions,on/,sufikso
wave,ond/,
"one, people, they",oni,
onyx (type of mineral),oniks/,
uncle,onkl/,
sanfoin (type of plant),onobrik/,
ending of future active participle in verbs,ont/,sufikso
marks collective numerals,op/,sufikso
opal (type of mineral),opal/,
opera,oper/,
operation,operaci/,
opium,opi/,
opinion,opini/,
oppose,opon/,
"convenient, handy",oportun/,
opposition,opozici/,
optative mood (grammar - expresses desire),optativ/,
optics,optik/,
optimism,optimism/,
optimist,optimist/,
gold,or/,
oracle,orakol/,
orange (type of fruit),oranĝ/,
orator,orator/,
orbit,orbit/,
"order, regular arrangement",ord/,
order (of knighthood etc.),orden/,
ordinary,ordinar/,
"order, command",ordon/,
ear,orel/,
orphan,orf/,
organ (anatomy); medium of communication,organ/,
organic,organik/,
organism,organism/,
organize,organiz/,
orgasm,orgasm/,
organ (musical instrument),orgen/,
orgy,orgi/,
east,orient/,
origin,origin/,
original,original/,
oriole (type of bird),oriol/,
orchestra,orkestr/,
orchid (type of plant),orkide/,
"adorn, beautify",ornam/,
ornithologist,ornitolog/,
ornithology (study of birds),ornitologi/,
orography (geography of mountains),orografi/,
orthogonal,ort/,
orthodox,ortodoks/,
"orthography, correct or conventional spelling",ortografi/,
ending of future tense in verbs,-os,finaĵo
"yawn, gape, open wide",osced/,
bone,ost/,
oyster,ostr/,
ostracism,ostracism/,
ending of future passive participle in verbs,ot/,sufikso
egg,ov/,
"ovation, enthusiastic reception",ovaci/,
oval,oval/,
ozone,ozon/,
peace,pac/,
patience,pacienc/,
patient (person under medical treatment),pacient/,
Pacific,Pacifik/,
pacifism,pacifism/,
pacifist,pacifist/,
patchouli (type of plant),paĉul/,
shoot (a projectile),paf/,
pay,pag/,
pagoda (type of tower in Eastern architecture),pagod/,
page (of a book),paĝ/,
page (type of servant),paĝi/,
straw (plant material),pajl/,
"pack, stow (as a suitcase, etc.)",pak/,
Pakistan,Pakistan/,
pale,pal/,
palace,palac/,
palanquin (type of Eastern sedan chair),palanken/,
palate (roof of mouth; taste),palat/,
paleographer,paleograf/,
paleography (study of ancient writings),paleografi/,
paleontologist,paleontolog/,
paleontology (study of ancient life from fossils),paleontologi/,
"palette (as for a painter, etc.)",paletr/,
spiny lobster (type of sea creature),palinur/,
"post, stake, piece of wood stuck in the ground",palis/,
rosewood (type of wood),palisandr/,
palm tree,palm/,
"touch, feel",palp/,
eyelid,palpebr/,
overcoat,palt/,
"small libelous, satirical, or scurrilous document",pamflet/,
bread,pan/,
Panama,Panam/,
"break down, stop working (as a machine, etc.)",pane/,
panel (section of a surface),panel/,
a panic,panik/,
pancreas,pankreat/,
panorama,panoram/,
trousers,pantalon/,
pantheism,panteism/,
pantheist,panteist/,
panther (type of animal),panter/,
slipper (type of footwear),pantofl/,
pantomime,pantomim/,
pope,pap/,
parrot (type of bird),papag/,
poppy (type of plant),papav/,
paper,paper/,
butterfly,papili/,
papyrus,papirus/,
paprika,paprik/,
"pair, couple",par/,
parabola,parabol/,
parade,parad/,
"paradigm (grammar), table of forms",paradigm/,
paradise,paradiz/,
paradox,paradoks/,
paraph (flourish after a signature),paraf/,
paraffin,parafin/,
a paraphrase,parafraz/,
paragraph,paragraf/,
Paraguay,Paragvaj/,
parallel,paralel/,
parallelogram,paralelogram/,
paralyze,paraliz/,
parachute,paraŝut/,
parasite,parazit/,
"forgive, pardon",pardon/,
"relative, kinsman",parenc/,
parenthesis,parentez/,
"perfume, scent, fragrance",parfum/,
"parquet, inlaid wooden flooring",parget/,
Paris,Pariz/,
park,park/,
by heart (as in learning something by heart),parker/,
parliament,parlament/,
parody,parodi/,
parish,paroĥ/,
"paroxysm, fit, seizure",paroksism/,
"speak, talk",parol/,
"part, piece, portion",part/,
pit (theater),parter/,
"party, side, faction",parti/,
participle (grammar),particip/,
musical score,partitur/,
"tomtit, titmouse (type of bird)",paru/,
to pass,pas/,
passenger,pasaĝer/,
trimming or braid for clothes or furniture,pasament/,
sparrow (type of bird),paser/,
"passion, vehement emotion, strong attachment",pasi/,
passive,pasiv/,
Easter,Pask/,
lampoon; strong piece of satire,paskvil/,
passport,pasport/,
"paste, dough",past/,
meat or fish pie,pasteĉ/,
lozenge (as in pharmacy),pastel/,
parsnip (type of plant),pastinak/,
"clergyman, minister, pastor",pastr/,
"step, pace",paŝ/,
"to feed (animals), to graze, to pasture",paŝt/,
crayon,paŝtel/,
frying pan,pat/,
patent,patent/,
pathologist,patolog/,
pathology (study of diseases),patologi/,
passionate expression of feeling,patos/,
father,patr/,
"patrician, aristocrat",patrici/,
patriot,patriot/,
patriotism,patriotism/,
a patrol (military),patrol/,
patron (protector or customer),patron/,
Paul (man\'s name),Paŭl/,
pause,paŭz/,
peacock,pav/,
baboon (type of animal),pavian/,
pavillion,pavilon/,
pave,pavim/,
piece,pec/,
pitch,peĉ/,
"pedagogue, schoolmaster, teacher",pedagog/,
pedagogy (art and science of teaching),pedagogi/,
pedal,pedal/,
pedant; one who teaches with undue emphasis on minutiae,pedant/,
"an official sent to carry out the orders of a judge, etc.",pedel/,
louse,pedik/,
woodpecker,peg/,
"landscape, scenery",pejzaĝ/,
sin,pek/,
"pickle in brine, salt (vb.)",pekl/,
"drive, chase (vb.)",pel/,
woman\'s narrow cape,pelerin/,
pelican,pelikan/,
fur,pelt/,
"basin, pelvis",pelv/,
"endeavor, try to, take pains",pen/,
"penny, pence",penc/,
hang (intr.),pend/,
pendulum,pendol/,
penetrate,penetr/,
penicillin,penicilin/,
paintbrush,penik/,
penis,penis/,
think,pens/,
pension,pensi/,
boarding house,pension/,
repent,pent/,
pentameter,pentametr/,
"Pentecost, Whitsuntide",Pentekost/,
paint (vb.),pentr/,
peony (type of plant),peoni/,
"chirp, warble",pep/,
pepsin (type of medication),pepsin/,
"through, by means of",per,
"perceive, sense",percept/,
"pope, ruff (type of fish) (Acerina)",perĉ/,
lose,perd/,
partridge,perdrik/,
perish,pere/,
perfect,perfekt/,
betray,perfid/,
parchment,pergamen/,
perimeter,perimetr/,
period (of time),period/,
periscope,periskop/,
peristyle (row of surrounding columns),peristil/,
peritoneum (anatomy),peritone/,
perch (type of fish),perk/,
pearl,perl/,
mother of pearl,perlamot/,
"permit, allow",permes/,
"front steps, loading platform",peron/,
"persecute, prosecute",persekut/,
peach,persik/,
persist,persist/,
person,person/,
perspective,perspektiv/,
persuade,persvad/,
Peru,Peru/,
wig,peruk/,
weigh,pes/,
pessimism,pesimism/,
pessimist,pesimist/,
plague,pest/,
"ask, request",pet/,
petal (of a flower),petal/,
"explosive charge used to break down a door, etc.",petard/,
be mischievous,petol/,
Peter,Petr/,
petroleum,petrol/,
lamprey (type of fish),petromiz/,
parsley (type of plant),petrosel/,
"have weight, be heavy",pez/,
pfennig (German money),pfenig/,
"pious, righteous",pi/,
piano,pian/,
piece of eight (Spanish money),piastr/,
pizza,pic/,
spruce fir (type of tree),pice/,
foot (body part),pied/,
pedestal,piedestal/,
magpie (type of bird),pig/,
pygmy,pigme/,
pajamas,piĵam/,
"prick, sting; spade (cards)",pik/,
"picket, sentry (military); piquet (cards)",piked/,
picnic,piknik/,
electrochemical cell (battery),pil/,
pilaster (type of architectural column),pilastr/,
make a pilgrimage,pilgrim/,
ball (to play with),pilk/,
pill,pilol/,
pilot,pilot/,
pine (type of tree),pin/,
pinch,pinĉ/,
pin,pingl/,
penguin,pingven/,
umbrella pine (type of tree),pini/,
"point, tip, peak",pint/,
pick-axe,pioĉ/,
pioneer,pionir/,
pipe (for tobacco),pip/,
pepper,pipr/,
pip (poultry disease),pips/,
pear,pir/,
pyramid,piramid/,
pirate,pirat/,
pyrites (class of minerals),pirit/,
bullfinch (type of bird),pirol/,
"pirosis, heartburn (medicine)",piroz/,
urinate,pis/,
"pound, crush pulverize (in a mortar)",pist/,
pistachio (type of nut),pistak/,
pistil (flower part),pistil/,
pistol (handgun),pistol/,
"piston, plunger",piŝt/,
"pivot, axis, fulcrum",pivot/,
pea,piz/,
public square,plac/,
"be pleasing, please, give pleasure",plaĉ/,
"dish, platter",plad/,
ceiling,plafon/,
"plague, curse, scourge",plag/,
plagiarize,plagiat/,
plan,plan/,
sole (of the foot),pland/,
planet,planed/,
floor,plank/,
"to plant (in the ground, etc.)",plant/,
plantain (type of plant),plantag/,
plastic (type of material),plast/,
"plastic, easily shaped and molded",plastik/,
plaster (medical),plastr/,
flat,plat/,
"plane tree, button-wood (type of tree)",platan/,
platinum,platen/,
"splash, ripple",plaŭd/,
common people,pleb/,
"plead, allege (as in court)",pled/,
most,plej,
"braid, weave, twist, plait",plekt/,
"full, complete",plen/,
complain,plend/,
"pleonasm, redundancy",pleonasm/,
"tray, dish",plet/,
flat-fish (type of fish),pleŭronekt/,
pleasure,plezur/,
more,pli,
plica (fold or groove in skin),plik/,
"plunge, dive",plonĝ/,
"cry, weep",plor/,
roach (type of fish),plot/,
"farther, further",plu,
"plow, till (soil, etc.)",plug/,
pen; feather,plum/,
lead (type of metal),plumb/,
more than one,plur/,
plural,plural/,
plus,plus,
plush (textile),pluŝ/,
plutocrat,plutokrat/,
plutocracy,plutokrati/,
rain,pluv/,
pneumatics,pneŭmatik/,
at the rate of,po,
"name of the letter \""p\""",po,liternomo
gout (type of disease),podagr/,
podium,podi/,
poem,poem/,
"point (in games, exams, etc.)",poent/,
poet,poet/,
poetry,poezi/,
"cup, goblet",pokal/,
Pole,Pol/,popolnomo
"polemic, controversy, disputation",polemik/,
pollen,polen/,
police (the system),polic/,
polyglot,poliglot/,
polygon; buckwheat (type of plant),poligon/,
Polynesia,Polinezi/,
polypus (medicine),polip/,
policy,polis/,
polytheism,politeism/,
politics,politik/,
polka,polk/,
octopus,polp/,
"polish, burnish, glaze",polur/,
"pole (of the Earth, etc.)",polus/,
dust (substance),polv/,
apple,pom/,
pomade (type of perfumed ointment),pomad/,
"pomp, display, splendor",pomp/,
"dagger, poniard (type of knife)",ponard/,
bridge,pont/,
pontoon,ponton/,
poplar (type of tree),popl/,
people,popol/,
popular,popular/,
pore,por/,
for,por,
"cporcelain, fine china",porcelan/,
portion,porci/,
door,pord/,
leek (type of plant),pore/,
porphyry (type of rock),porfir/,
pig,pork/,
carry,port/,
"portal, doorway, gateway",portal/,
porter (type of beer),porter/,
portico (in architecture),portik/,
portrait,portret/,
possess,posed/,
"after, behind",post,
"post, duty station (military)",posten/,
"demand, require",postul/,
pocket,poŝ/,
mail,poŝt/,
pot,pot/,
potash (type of chemical),potas/,
power,potenc/,
"be able, can",pov/,
pose,poz/,
position,pozici/,
positive,pozitiv/,
"great-, fore-, ancient",pra/,prefikso
"practice, application (of a profession)",praktik/,
ferry-boat,pram/,
"right, correct (to be right)",prav/,
"principal, chief, above all",precip/,
precise,preciz/,
preach,predik/,
predicate (grammar),predikat/,
prefect (an official),prefekt/,
prefer,prefer/,
prefix,prefiks/,
pray,preĝ/,
"prelate, high dignitary",prelat/,
lecture,preleg/,
prelude (music),prelud/,
press,prem/,
"prize, reward, award",premi/,
premise,premis/,
take,pren/,
prepare,prepar/,
preposition,prepozici/,
prerogative,prerogativ/,
print (verb),pres/,
almost,preskaŭ,
prescribe (medicine),preskrib/,
prestige,prestiĝ/,
ready,pret/,
pretext,pretekst/,
"pretend, lay claim to",pretend/,
"beyond, past, by",preter,
"preterit, past tense (grammar)",preterit/,
price,prez/,
"present (verb), introduce (a person)",prezent/,
preside,prezid/,
"concerning, about",pri,
primitive,primitiv/,
primrose (type of plant),primol/,
prince,princ/,
principle,princip/,
springtime,printemp/,
prior (of a monastery),prior/,
prism,prism/,
private,privat/,
privilege,privilegi/,
"because, on account of, for the sake of",pro,
"probable, likely",probabl/,
problem,problem/,
proceed,proced/,
procedure,procedur/,
"lawsuit, process",proces/,
procession,procesi/,
produce,produkt/,
"profane, irreverent",profan/,
profession,profesi/,
professor,profesor/,
prophet,profet/,
"profile (drawing, etc.)",profil/,
"profit, gain",profit/,
deep,profund/,
prognosis,prognoz/,
"program, plan, syllabus",program/,
"progress, advance",progres/,
"projection (on a screen, etc.)",projekci/,
"project, plan, scheme",projekt/,
proclaim,proklam/,
"procrastinate, delay, defer",prokrast/,
near,proksim/,
"proletarian, worker",prolet/,
"proletarian, worker",proletari/,
prologue,prolog/,
"to walk, promenade",promen/,
promise,promes/,
"promontory, high point of land",promontor/,
pronoun,pronom/,
pronounce,prononc/,
propaganda,propagand/,
"propose, suggest",propon/,
proportion,proporci/,
"proposition, assertion",propozici/,
own (one\'s own),propr/,
prospectus,prospekt/,
"prosper, succeed in",prosper/,
prostate,prostat/,
prostitute,prostitu/,
protagonist,protagonist/,
protein,protein/,
protect,protekt/,
protectorate,protektorat/,
protest,protest/,
"minutes, record (of a meeting)",protokol/,
prototype,prototip/,
"attempt, try to; test, assay",prov/,
proverb,proverb/,
Providence,Providenc/,
province,provinc/,
provide,proviz/,
"provisional, tentative",provizor/,
provoke,provok/,
prose,proz/,
"proselyte, a convert",prozelit/,
"prosody, study of versification",prozodi/,
"prudent, sensible, reasonable",prudent/,
"rime, hoar frost",prujn/,
plum,prun/,
blackthorn (type of plant),prunel/,
"*al*, lend; *de*, borrow",prunt/,
prove,pruv/,
psalm,psalm/,
pseudonym,pseŭdonim/,
psychologist,psikolog/,
psychology,psikologi/,
pubes,pub/,
public,publik/,
poodle,pudel/,
pudding,puding/,
powder (cosmetic),pudr/,
"puff, pad, wad",puf/,
fist,pugn/,
flea,pul/,
punchinello (type of clown),pulĉinel/,
lung,pulm/,
pulp,pulp/,
pulse,puls/,
gunpowder,pulv/,
powder (substance),pulvor/,
pumice (type of rock),pumik/,
pump,pump/,
punish,pun/,
crimson red,punc/,
punch (drink),punĉ/,
British pound (money),pund/,
"point, period, dot",punkt/,
lace,punt/,
doll,pup/,
pupil (of the eye),pupil/,
slanting desk,pupitr/,
"clean, pure",pur/,
purgatory,purgatori/,
Puritan,Puritan/,
purple,purpur/,
pus,pus/,
pustule,pustul/,
push,puŝ/,
"well (for water, etc.)",put/,
skunk,putor/,
"rot, putrify",putr/,
rob,rab/,
rhubard,rabarb/,
"rebate, discount",rabat/,
rabbi,raben/,
rabies,rabi/,
"to plane (wood, etc.)",rabot/,
"reason, judgement",raci/,
rationalism,racionalism/,
rationalist,racionalist/,
wheel,rad/,
radar,radar/,
"ray, beam; radiation",radi/,
radiator,radiator/,
root,radik/,
radical,radikal/,
to photograph by X-rays,radiograf/,
radish,rafan/,
"refine, clarify, purify",rafin/,
ray (type of marine animal),raj/,
ride,rajd/,
"right, authority",rajt/,
racquet,raked/,
rocket,raket/,
"tell, relate, give account of",rakont/,
"crawl, creep",ramp/,
frog,ran/,
rancid,ranc/,
"edge, border, hem",rand/,
"rank, class, grade",rang/,
ranunculus (type of plant),ranunkol/,
turnip,rap/,
"fast, rapid",rapid/,
"rapier, foil (type of sword)",rapir/,
report,raport/,
"race, breed",ras/,
"rasp, scrape, grate",rasp/,
rake (verb),rast/,
rat,rat/,
hoarse,raŭk/,
caterpillar,raŭp/,
"enrapture, delight",rav/,
shave,raz/,
"again, back",re/,prefikso
reaction,reakci/,
real,real/,
realism,realism/,
rebus (puzzle in which pictures represent words),rebus/,
"a review (of a book, movie, etc.)",recenz/,
"recipe, formula",recept/,
"mutal, reciprocal",reciprok/,
recitative (music),recitativ/,
editorial department,redakci/,
edit,redakt/,
"compiler, editor",redaktor/,
reduce,redukt/,
reef (part of a sail),ref/,
reference,referenc/,
reflect,reflekt/,
the Reformation,Reformaci/,
refute,refut/,
"rule, dominate, govern",reg/,
"entertain, regale",regal/,
"regent, provisional ruler",regent/,
regiment,regiment/,
"region, district, part",region/,
register,registr/,
"the state, kingdom",regn/,
wren (type of bird),regol/,
"rule, regulation",regul/,
king,reĝ/,
"regime, regimen",reĝim/,
stage manager (theater),reĝisor/,
advertise,reklam/,
recommend,rekomend/,
"recompense, make ammends, repay",rekompenc/,
"record, best performance",rekord/,
"dregs, grounds, residue, leftover matter",rekrement/,
recruit,rekrut/,
straight,rekt/,
"rector, chancellor (of a college, etc.)",rektor/,
a rail,rel/,
"relative, comparative",relativ/,
"relief (of a map, engraving, etc.)",relief/,
religion,religi/,
row (verb),rem/,
"stuff, pad, upholster",rembur/,
"rampart, bulwark, defense wall",rempar/,
kidney,ren/,
rendezvous,rendevu/,
the Renaissance,Renesanc/,
meet,renkont/,
"revenue, income",rent/,
"upset, knock over",renvers/,
repertoire,repertuar/,
"reputation, character",reputaci/,
respect,respekt/,
"respective, each\'s own",respektiv/,
"answer, reply",respond/,
republic,respublik/,
remain,rest/,
restoracio,restoraci/,
net (a),ret/,
retina,retin/,
rhetorician,retor/,
rhetorical,retorik/,
retort,retort/,
rheumatism,reŭmatism/,
dream,rev/,
revelation,revelaci/,
revise,revizi/,
inspector-general,revizor/,
"revolution, uprising",revoluci/,
revolver,revolver/,
"review; magazine, periodical",revu/,
mignonette (type of plant),rezed/,
"reserve, hold back, retain, save",rezerv/,
resign,rezign/,
resignation,rezignaci/,
resin,rezin/,
resist,rezist/,
resolution (at a meeting),rezoluci/,
"reason, conclude, draw conclusions",rezon/,
result,rezult/,
result,rezultat/,
currant (type of fruit),rib/,
"revolt, rebel",ribel/,
"receive, get, obtain",ricev/,
castor oil plant (type of plant),ricin/,
rich,riĉ/,
laugh,rid/,
"reef, ridge of rock",rif/,
"take refuge, take shelter",rifuĝ/,
"refuse, say \""no\""",rifuz/,
look at,rigard/,
"rigid, stiff",rigid/,
bolt,rigl/,
rigorous,rigor/,
sneer at,rikan/,
"harvest, reap",rikolt/,
"relate to, concerned with",rilat/,
rhyme,rim/,
"remark, notice, observe",rimark/,
"means, method, opportunity",rimed/,
"strap, leather band",rimen/,
a ring,ring/,
rhinoceros,rinocer/,
rib,rip/,
"repair, mend",ripar/,
repeat,ripet/,
"rest, repose",ripoz/,
"reproach, blame",riproĉ/,
"risk, venture, take a chance",risk/,
ream (of paper),rism/,
a spring (elastic),risort/,
"rite, ceremony",rit/,
rhythm,ritm/,
"reveal, disclose",rivel/,
river,river/,
"bow, curtsey",riverenc/,
revolve,rivolu/,
rice,riz/,
"name of the letter \""r\""",ro,liternomo
robe,rob/,
robot,robot/,
"anchorage, landing-place (maritime)",rod/,
royalist,rojalist/,
"rock, boulder",rok/,
rococo (type of architectural style),rokok/,
"rôle, part",rol/,
novel (work of fiction),roman/,
"romantic song, ballad",romanc/,
"romantic, imaginative, picturesque",romantik/,
rhombus,romb/,
break,romp/,
"round, circle",rond/,
"gnaw, nibble",ronĝ/,
snore,ronk/,
dew,ros/,
walrus,rosmar/,
rosemary (type of plant),rosmaren/,
roast,rost/,
"trunk (of an elephant, etc.)",rostr/,
"troop, company (of soldiers)",rot/,
rotate,rotaci/,
"rotunda, circular hall",rotond/,
rose (type of flower),roz/,
rosary,rozari/,
"rubbish, trash",rub/,
"ribbon, band",ruband/,
ruby,ruben/,
ruble (Russian money),rubl/,
rubric; liturgical rule; book heading,rubrik/,
blackberry (type of plant),rubus/,
red,ruĝ/,
"ruins, wreckage",ruin/,
belch,rukt/,
roll (verb),rul/,
roulette,rulet/,
rum,rum/,
Romanian,Ruman/,
Russian,Rus/,popolnomo
rust,rust/,
rue (type of plant),rut/,
"routine, regular procedure",rutin/,
"ruse; cunning, sly",ruz/,
Saturday,sabat/,
sand,sabl/,
saber (type of sword),sabr/,
priest,sacerdot/,
saphire,safir/,
saffron (type of plant),safran/,
arrow,sag/,
"sagacious, shrewd, crafty, sharp",sagac/,
sago (powdered starch made from sago palm),sagu/,
wise,saĝ/,
sack,sak/,
sacrum (anatomy),sakr/,
sacrament,sakrament/,
sacristy (room in a church),sakristi/,
saxophone,saksofon/,
salt,sal/,
"salary, wages",salajr/,
salamander,salamandr/,
salad,salat/,
balance (in accounting),sald/,
willow (type of tree),salik/,
prawn,salikok/,
saliva,saliv/,
salmon (type of fish),salm/,
drawing room,salon/,
"saltpeter, potassium nitrate",salpetr/,
"leap, jump",salt/,
"salute, greet",salut/,
"salvo, salute, volley (by firearms)",salv/,
sage (type of plant),salvi/,
same,sam/,
elder (type of tree),sambuk/,
"samovar, Russian tea urn",samovar/,
healthy,san/,
sandal,sandal/,
sandwich,sandviĉ/,
blood,sang/,
"sanction, official approval",sankci/,
"sacred, holy",sankt/,
sandalwood (type of tree),santal/,
soap,sap/,
sardine,sardel/,
"to weed, hoe",sark/,
sarcasm,sarkasm/,
sarcophagus,sarkofag/,
"satiated, satisfied, full",sat/,
Satan,Satan/,
satellite,satelit/,
satin,saten/,
satire,satir/,
"satrap, ancient Persian governor",satrap/,
saturate,satur/,
sauce,saŭc/,
"save, rescue",sav/,
scene,scen/,
scepter,sceptr/,
know,sci/,
science,scienc/,
squirrel,sciur/,
if,se,
"tallow fat, suet",seb/,
but,sed,
to saw,seg/,
segment,segment/,
chair,seĝ/,
dry,sek/,
rye,sekal/,
"cut into pieces, dissect",sekc/,
section,sekci/,
secretion,sekreci/,
secret,sekret/,
secretary,sekretari/,
sex,seks/,
sect,sekt/,
sector,sektor/,
a second (of time or arc),sekund/,
second (assistant of a duelist),sekundant/,
"secure, safe",sekur/,
follow,sekv/,
saddle,sel/,
whey,selakt/,
seed,sem/,
semaphore,semafor/,
week,semajn/,
seminary,seminari/,
without,sen,
senate,senat/,
"sense, meaning",senc/,
send,send/,
"sense (sight, hearing, touch, taste, smell)",sens/,
"sensation, intense commotion or interest",sensaci/,
"feel, perceive",sent/,
"short, pithy, wise saying",sentenc/,
sentimental,sentimental/,
seven,sep,
cuttlefish (type of marine animal),sepi/,
September,Septembr/,
septet,septet/,
seraphim (an order of angels),seraf/,
"seraglio, sultan\'s harem (part of house)",serajl/,
search,serĉ/,
"serene, calm",seren/,
serenade,serenad/,
sergeant,serĝent/,
series,seri/,
serious,serioz/,
"serpent, snake",serpent/,
lock (fastening),serur/,
serve,serv/,
"set of dishes, plates, etc.",servic/,
"servitude, bondage",servut/,
six,ses,
session,sesi/,
"severe, hard, harsh, strict",sever/,
stellated sturgeon (type of fish),sevrug/,
season,sezon/,
sphere,sfer/,
sphinx,sfinks/,
sphincter muscle,sfinkter/,
one\'s self,si,
"hiss, wheeze, whizz",sibl/,
sit,sid/,
"besiege, beleaguer",sieĝ/,
syphilis,sifilis/,
syphon,sifon/,
seal (verb),sigel/,
"sign, mark, token",sign/,
signal,signal/,
"signify, mean",signif/,
syllable,silab/,
be silent,silent/,
silicon,silici/,
flint,silik/,
silk,silk/,
syllogism,silogism/,
silhouette,siluet/,
shad-fish (type of fish),silur/,
warbler (type of bird),silvi/,
symbol,simbol/,
symmetry,simetri/,
symphony,simfoni/,
"ape, monkey",simi/,
"similar, alike",simil/,
"like, affinity, instinctive attraction",simpati/,
simple,simpl/,
symptom,simptom/,
"bosom, breast",sin/,
synagogue,sinagog/,
mustard plant,sinap/,
sincere,sincer/,
syndicate,sindikat/,
Sanhedrin (Jewish tribunal),Sinedri/,
singular (grammar),singular/,
hiccough,singult/,
"Sir, Mr.",sinjor/,
"syncope, faint",sinkop/,
"synod, council (of a church)",sinod/,
synonym,sinonim/,
"synoptic, giving a comprehensive mental view",sinoptik/,
syntax,sintaks/,
synthesis,sintez/,
siren,siren/,
Syria,Siri/,
lilac (type of plant),siring/,
syrup,sirop/,
system,sistem/,
"bucket, pail",sitel/,
"situation, position, site",situ/,
"circumstances, state of affairs, situation",situaci/,
scabies (contagious skin condition),skabi/,
squadron,skadr/,
"scale (measure, musical, etc.)",skal/,
scalp,skalp/,
scan,skan/,
scandal,skandal/,
shoulder-blade,skapol/,
beetle,skarab/,
scarlet,skarlat/,
scarlet fever (type of disease),skarlatin/,
scarf,skarp/,
"box, case",skatol/,
sketch (theater),skeĉ/,
skeleton,skelet/,
"scheme, systematic arrangement, layout",skem/,
sceptical,skeptik/,
scherzo (type of musical composition),skerc/,
"fence, fight with swords",skerm/,
ski,ski/,
schism,skism/,
"sketch, draft, outline",skiz/,
slave,sklav/,
"school (of thought, etc.)",skol/,
scholasticism,skolastik/,
woodcock (type of bird),skolop/,
scout,skolt/,
scurvy,skorbut/,
scorpion,skorpi/,
*Scorzonera* (genus of plant),skorzoner/,
"shave, scrape, graze",skrap/,
write,skrib/,
scrofula (type of disease),skrofol/,
"scruple, conscientious objection",skrupul/,
shake (verb),sku/,
"sculpt, carve",skulpt/,
scourge (type of whip),skurĝ/,
"scale (of a fish, etc.)",skvam/,
"sled, sleigh",sled/,
"slip (of paper), index card",slip/,
emerald,smerald/,
"name of the letter \""s\""",so,liternomo
sober,sobr/,
"society, body, community, the public",soci/,
relating to socialism,social/,
"society, community, association, club, group",societ/,
sociologist,sociolog/,
sociology,sociologi/,
soda (sodium carbonate),sod/,
sofa,sof/,
Sofia,Sofi/,virina nomo
"sophism, fallacy, false reasoning",sofism/,
sophist,sofist/,
thirst,soif/,
"threshold, doorstep",sojl/,
"socle, base, bottom, pedestal, support",sokl/,
"only, alone",sol/,
sol (French money),sold/,
soldier,soldat/,
sole (type of fish),sole/,
"solecism, blunder, offence against standard",solecism/,
solemn,solen/,
solid,solid/,
jointly liable and responsible,solidar/,
soloist,solist/,
dissolve,solv/,
solvent,solvent/,
summer,somer/,
"somnambulist, sleepwalker",somnambul/,
sound,son/,
sonata,sonat/,
"take soundings, measure depth",sond/,
sonnet,sonet/,
dream,sonĝ/,
"ring, give out a sound (as a bell)",sonor/,
"long for, yearn",sopir/,
"soprano, treble",sopran/,
"absorb, soak up",sorb/,
"bewitch, practice witchcraft",sorĉ/,
sorghum (type of grain),sorg/,
shrew-mouse (type of animal),sorik/,
service tree,sorp/,
"fate, destiny, lot, luck",sort/,
assortment,sortiment/,
"savage, wild",sovaĝ/,
"space, room, extent",spac/,
type of straight sword,spad/,
espalier,spalir/,
 ,spasm/,
spar (min.),spat/,
"kind, species",spec/,
special,special/,
specify,specif/,
specimen,specimen/,
mirror,spegul/,
watch (verb),spekt/,
"spectacle, entertainment, show",spektakl/,
spectrum,spektr/,
to speculate (as in finance),spekulaci/,
"speculative, conjectural, hypothetical",spekulativ/,
sperm,sperm/,
experienced,spert/,
exchange money,spez/,
spice,spic/,
